Name,Address,Description,Website,Phone
トーキョーカオマンガイ食堂,東京都台東区浅草7-2-7  1階,本場タイで学んだ店主がつくる絶品カオマンガイ！　国産銘柄鶏を丸ごと茹でて、その出汁で炊き上げる新潟産インディカ米。　酔いの宵ではミニカオマンガイとお好きなお飲み物をセットでご提供！！,https://maps.app.goo.gl/b5uZ43qDJwfhDQkM6?g_st=il,070-8509-9070
東京スパイスカレー  SmileSpice,東京都台東区浅草6-1-17 シェアキッチンhatchハナレ,創作スパイスカレーと発酵食。「こころと、からだを、笑顔に」をテーマに、グルテンフリー・無添加・砂糖不使用の、毎日食べたくなるお料理を提供しています。 ※営業日、時間の変更ありますので、Instagramをご確認の上ご来店ください（^^） 2/13(金)　8:00～10:30　／　11:30～15:00　追加で営業します。,https://smilespice.studio.site,090-2469-2127
燻製暖義,東京都台東区浅草6-1-17　HATCHハナレ,2025年12月オープン 無農薬の新鮮野菜、青パパイヤ、切干大根、特製トマトソース、ジューシーなチキンをトウモロコシ粉、米粉、マヤナッツで作った香ばしいトルティーヤで包み、仕上げに健康スパイス「カケナッツ」をかけた食感が楽しめる栄養たっぷりヘルシーラップをご用意してます。,https://lit.link/kenkoudangi,090-9237-6821
ORANGE kikaki,東京都台東区浅草6-1-3  サンライズセキネ101,オランジェットをメインにしたスイーツ店です。　国産の食材や季節の果物を大切に、自然なおいしさをお届けします。　普段からお酒の取り扱いもさまざまあり、オレンジワインやオレンジピール使用のビール、サンガリアなどのスイーツのペアリングをご用意予定です。　ソフトドリンクとのセットもご用意しますので、休肝店としてもご利用ください。,https://kikaki.official.ec,090-6270-9072
Inclusion酒場,東京都台東区浅草2-19-7,あなたの全てを包みます♡ 2025年4月４日オープンしました。　酔いの宵は初参加となります 店主が独断と偏見で選んだお酒達と家庭的なおつまみと　時々スイーツが楽しめる不思議なbarです♡ おつまみ＋ドリンク or スイーツ＋ドリンクからお選び頂けます。,https://www.instagram.com/miki_c0606/,070-1245-0606
浅草海月,東京都台東区浅草2-20-6  井上ビル1F,毎日豊洲市場から仕入れる鮮魚と黒毛和牛を使った料理がおすすめです。,https://www.instagram.com/asakusakaigetsu/,03-6802-8988
浅草酒場ミィ,東京都台東区浅草2-20-6  井上ビル1階,せんトラセットのみのご来店も大歓迎です。 皆さまのご来店を心よりお待ちしております。,https://www.instagram.com/asakusasakaba_mie/,
HIBIKI,東京都台東区浅草2-21-3,【せんトラセット】ガーリックチーズトーストorマシュマロトースト(杏仁豆腐付き) 2024年1月1日オープン！親子経営の隠れ家バー♪ 人気NO1メニュー！「ガーリックチーズトースト」は、手作りガーリックオイル使用！「マシュマロトースト」は、とろふわのマシュマロに甘さが広がります！ 2階建ての建物で、1階はカウンター９席。2階はカウンター&テーブルで最大15名まで可能。親子でお待ちしております♪,https://www.instagram.com/asakusa_hibiki/,03-4400-0085
なごむカフェ,東京都台東区浅草2-22-5,浅草のほっと落ち着く居場所、なごむカフェです。 酔いの宵期間中は昼11時から18時まで営業しています。 自家製スパイスカレー、おつまみ、スイーツでひと息つきに来てください。お待ちしています！,https://www.ennago.com,03-6231-7090
浅草もんじゃお好み焼き  ぽんちゃん,東京都台東区浅草2-22-13,せんトラメニュー 基本のもんじゃかお好み焼きのいずれか１つ。 ドリンク 生ビール、サワー系、ハイボール、ソフトドリンクのいずれか。,https://www.instagram.com/monjyaponchan/,03-5830-6171
下町居酒屋  なでしこ,東京都台東区浅草2-13-12,カウンター8席の小さなお店です。　下町のアットホームな雰囲気なお店になっています。　お気軽にお越しください。 小さなお店ですので手前4席を酔いの宵のお席にさせていただいています。　タイミングでその他のお席にご案内出来る時もあります。 今年は酔いの宵期間中、平日の昼居酒屋もやってます。,https://www.instagram.com/nadeshiko0204/,03-6802-7537
ワインバルLUGAR (ルガール),東京都台東区浅草2-14-7,世界各国のワインと小皿料理が気軽に楽しめるワインバルです！ 酔いの宵期間中は限定メニューの中からお好きなドリンク、フード一品ずつお選びいただけます！ おひとり様からお気軽にどうぞ！,https://www.instagram.com/winebarlugar/,03-6876-3695
まん水,東京都台東区浅草2-17-9,水産卸の会社が経営しているので新鮮な魚、貝類をお手頃な価格でご提供いたします。 とってもアットホームなお店なのでお気軽にお立ち寄りくださいませ。,https://www.instagram.com/mansui20240503/,03-6786-7416
部位ごとに調理法を変える豚肉専門店  グロワグロワ,東京都台東区浅草2-26-5  SDS102,"豚を一頭買いし、部位ごとに最適な火入れと仕立てでご提供。名物ローストポーク、パテなどのシャルキュトリ、希少ブランド豚の“食べ比べ”をご用意しております。　自然派ワインとともに気軽にお楽しみください。　少人数・記念日にもご対応しております。 酔いの宵開催期間中は【名物ローストポークとナチュラルワイン（グラス）】を1,000円［1皿＋1杯］でご提供します。 本イベントは、気になる店舗を“はしご”して楽しむ企画です。　趣旨に賛同し、期間中は通常メニューの追加注文を承っておりません。 この機会に、ぜひ次の一軒へ　浅草の夜を存分にお楽しみください。",https://www.groin2.com,03-6231-6309
TAKEYA,東京都台東区浅草2-25-5  2F,ひさご通り内 ２階にて営業しているTAKEYAです。 ご近所の方、観光客、色々な方々に利用されるよう心掛けています。 是非、皆様のご来店をお待ちしております。,,03-3841-6555
中華そば  わたなべ,東京都台東区浅草2-15-7  田口はなやしきビル1F,はなやしき裏にあるラーメン居酒屋。 休憩無しで昼呑みのお客様も大歓迎!! ラーメンはもちろん、マスターが鍋を振る炒飯も御好評いただいております。 特注の皮がモチモチの手作りぎょうざ。　隠れた人気のシュウマイもおすすめです♪ 是非一度ご賞味ください。お待ちしております。 《せんトラセット》 手作り焼ぎょうざ 又は おつまみセット（チャーシュー味玉等の盛り合わせ）＋ お好きなドリン１杯 ※ぎょうざは10分程お時間いただきます。,,03-5811-1987
浅草鳥きち,東京都台東区浅草2-27-8,参加2回目になります！　ご来店をお待ち致します！,,03-6240−6288
茶々工房  花やしき店,東京都台東区浅草2-28-1  茶々工房 花やしき店,『酔いの宵』初参加の　茶々工房花やしき店　です。 茶々工房　ふたつめの姉妹店です。 生搾り抹茶モンブラン、抹茶オレを中心に花やしき店だけの食べ歩きできる軽食などをご用意しております。 居酒屋タイムでは豊富なお酒とお酒に合った和食を中心としたお料理をご用意しております。 お気軽にご来店をお待ちしております。,https://www.instagram.com/chacha.hana_yashiki/,
FEBRUARY COFFEE ROASTERY,東京都台東区浅草2-28-18  瀬口ビル1階,自家焙煎のスペシャルティコーヒー専門店です。 酔いの宵の期間中だけ、夜の時間帯も営業します。 コーヒーに合う人気のプリンや限定スイーツがお得に楽しめる年に一度の機会です。 ぜひお立ち寄りください！ ※せんトラセットでのアルコールの提供はありません。,https://www.instagram.com/februarycoffeeroastery/,03-5830-3799
大人の隠れ家 呑み処 松邑,東京都台東区浅草2-29-5,浅草寺の路地裏に、酒好きが集まる隠れ家的家庭料理居酒屋«松邑»。　家庭料理や酒好き女将の作るツマミをお楽しみください。,https://matsumura2021.com,03-3843-5053
わ食 恵,東京都台東区花川戸2-20-1  タツミハイツ1F,初参加の花川戸にあります「わ食 恵」です！ 【お腹とココロを満たす、味より笑い】をモットーに仙台出身の女将がどこか懐かしいホッとするおふくろの味を提供します。 浅草で昼でも夜でもごはん(定食)を食べられるお店です。　ごはんだけのご利用も大歓迎！ 酔いの宵期間中は、休まず営業しますので、皆様のご来店お待ちしてます！,https://maps.app.goo.gl/RQuVAsqFyE1TJft67?g_st=il,
Life food restaurant  et vous?,東京都台東区花川戸2-9-11,浅草のフレンチ・ライフフードレストラン「et vous？（エヴ）」が飲み歩きイベントに登場！　シェフ岡部が素材の魅力を最大限に引き出した一皿を、3世代が安心して囲める食卓の想いと共にお届けします。　浅草の情緒と共に、フレンチの枠を超えた独自の味わいをぜひご堪能ください。,https://www.et-vous.net/sp/,03-6796-7601
Bar あたりめ,東京都台東区花川戸2-17-7  1F,店内どこを撮っても映えるお店で飲んで食べてお喋りして楽しんで頂ければと思います♪    by Bar あたりめ🎯 酔いの宵の一品料理は ⚫︎夜店のお好み焼き ⚫︎ねこまんま焼きおにぎり ⚫︎もずく酢きゅうり一本漬け 上記のから一品です。,https://maps.app.goo.gl/sjfvqJpbCbMifBkM6?g_st=il,070-3361-0123
